108clip.com,true,coin-hive.*\.js;coinhive.*\.js;coinhive\.min\.js,200
123moviesfull.org,true,coin-hive.*\.js;coinhive.*\.js;coinhive\.min\.js,200
159937.com,true,authedmine\.min\.js,200
1load.sx,true,simple-ui\.min\.js,200
1manfactory.com,true,coin-hive.*\.js;simple-ui\.min\.js,200
2099.ru,true,miner\.min\.js;CryptoLoot\.Anonymous,200
2guys1horse.fr,true,coinhive.*\.js;coinhive\.min\.js,200
2payeerbonus.ru,true,coinhive.*\.js;coinhive\.min\.js,200
2tempest.com,true,authedmine\.min\.js,200
2timoteo316.blogspot.com.br,true,simple-ui\.min\.js,200
3dzone.link,true,coin-hive.*\.js;smmch-mine.js,200
3ili.blogspot.com,true,coinhive.*\.js;miner\.min\.js,200
3x.fm,true,coin-hive.*\.js;coinhive.*\.js;coinhive\.min\.js,200
94ero.com,true,coinhive.*\.js;coinhive\.min\.js,200
987mas.com,true,coin-hive.*\.js;coinhive.*\.js;coinhive\.min\.js,200
a7oo.men,true,coinhive.*\.js;coinhive\.min\.js;miner\.min\.js,200
aacademt.fm,true,coin-hive.*\.js;coinhive.*\.js;coinhive\.min\.js,200
abc8.ru,true,coin-hive.*\.js;coinhive.*\.js;coinhive\.min\.js,200
abi-physik.de,true,authedmine\.min\.js;processor\.js,200
activebeat.co,true,xmr\.js,200
activebeat.com,true,xmr\.js,200
adamszustak.pl,true,coinhive.*\.js;coinhive\.min\.js,200
adsptp.com,true,coinhive.*\.js;miner\.min\.js,200
aforismicitazioni.info,true,coinhive.*\.js;coinhive\.min\.js,200
afspraakjes.be,true,coinhive.*\.js;coinhive\.min\.js,200
afspraakjes.com,true,coinhive.*\.js;coinhive\.min\.js,200
ajhdmovies.com,true,coin-hive.*\.js;coinhive.*\.js;coinhive\.min\.js;smmch-mine.js,200
alacroiseedeschemins.fr,true,coinhive.*\.js;coinhive\.min\.js,200
alfadiario.com.mx,true,coinhive.*\.js;coinhive\.min\.js,200
alivbay.org,true,coinhive.*\.js;coinhive\.min\.js,200
all-books.net,true,coinhive.*\.js;miner\.min\.js,200
all-library.ru,true,coinhive.*\.js;coinhive\.min\.js,200
allcdcovers.com,true,coinhive.*\.js;coinhive\.min\.js,200
allpornvideos.net,true,coinhive.*\.js;coinhive\.min\.js,200
allsarkarinaukri.com,true,coinhive.*\.js;coinhive\.min\.js,200
alltvonline.ru,true,coinhive.*\.js;coinhive\.min\.js,200
alotof.software,true,projectpoi\.min\.js,200
androidrepublica.website,true,coinhive.*\.js;coinhive\.min\.js,200
androidrootguide.com,true,coinhive.*\.js;coinhive\.min\.js,200
angelina-paris.fr,true,coinhive.*\.js;coinhive\.min\.js,200
aniclan.com,true,coin-hive.*\.js;coinhive.*\.js;coinhive\.min\.js,200
animalporn.rocks,true,miner\.min\.js,200
animesgo.net,true,browsermine\.js,200
animesorion.tv,true,coinhive.*\.js;coinhive\.min\.js,200
animetranslated.com,true,coinhive.*\.js;coinhive\.min\.js,200
anitube.stream,true,coinhive.*\.js;coinhive\.min\.js,200
anmaxjp.com,true,coinhive.*\.js;coinhive\.min\.js,200
anti-semitism.net,true,coinhive.*\.js;coinhive\.min\.js,200
apkone.net,true,coin-hive.*\.js;smmch-mine.js,200
apkville.us,true,coin-hive.*\.js;smmch-mine.js,200
apotheke-der-zukunft.de,true,coinhive.*\.js,200
appliftonews.ru,true,coinhive.*\.js;coinhive\.min\.js,200
applinker.store,true,amo\.js;coinhive.*\.js;coinhive\.min\.js,200
arab-api.org,true,coinhive.*\.js;coinhive\.min\.js,200
arabssex.org,true,coinhive.*\.js;coinhive\.min\.js,200
aranika.com,true,coinhive.*\.js;coinhive\.min\.js,200
arduinom.org,true,coinhive.*\.js;coinhive\.min\.js,200
argusmicro.com,true,coinhive.*\.js;miner\.min\.js,200
atk-coeds.com,true,coinhive.*\.js;coinhive\.min\.js,200
atk-cuteandhairy.com,true,coinhive.*\.js;coinhive\.min\.js,200
atk-matureandhairy.com,true,coinhive.*\.js;coinhive\.min\.js,200
atkebony.com,true,coinhive.*\.js;coinhive\.min\.js,200
atkfootfetish.com,true,coinhive.*\.js;coinhive\.min\.js,200
atkingdom.com,true,coinhive.*\.js;coinhive\.min\.js,200
atklatina.com,true,coinhive.*\.js;coinhive\.min\.js,200
atklingerie.com,true,coinhive.*\.js;coinhive\.min\.js,200
atknudism.com,true,coinhive.*\.js;coinhive\.min\.js,200
