fizika.rs,load.jsecoin.com/load/
web.tudatos-mozgas.hu,worker-asmjs\.min\.js
web.tudatos-mozgas.hu,coinhive\.min\.js
raywhiteuxcel.com.au,api\..{8}.space
www.lv.landscapingproj.com,crypta\.js
www.lv.landscapingproj.com,crypta\.js
sport.azureedge.net,coinhive\.min\.js
sport.azureedge.net,worker-asmjs\.min\.js
www.book.micheledighoffer.fr,load.jsecoin.com/load/
www.adressfashion.ro,coin-hive\..*\.js;coinhive\.min\.js
yyoujia.com,"(\""|/)cn\.js\"""
arnaud-haas.fr,authedmine\.min\.js
nhplw.com,"(\""|/)cn\.js\"""
flexible-strip-brush.com,miner\.js
papa.pk,load.jsecoin.com/load/
arhash.xyz,cryptonight
raywhitefernyhills.com,api\..{8}.space
ns2.s-sg.ru,cryptonight-asmjs\.min\.js
mfo-matratzen.de,miner\.js
www.turiferario.com,coinhive\.min\.js
ramerteachingmethod.com,coinhive\.min\.js
www.eccellenzacalcio.it,coinhive\.min\.js
www.eccellenzacalcio.it,worker-asmjs\.min\.js
www.wss-lb.swiss-pearl.com,worker-asmjs\.min\.js
www.wss-lb.swiss-pearl.com,coinhive\.min\.js
tinnitus.tips,coinhive\.min\.js
www.microscour.com,coinhive\.min\.js
ncq.kaixo.com.mx,coinhive\.min\.js
ameslay.com,ws.?://(.*\.)?eth-pocket\.de
webdisk.dubturbo.com-secrets.com,load.jsecoin.com
bilder-experte.com,worker-asmjs\.min\.js
bilder-experte.com,coinhive\.min\.js
www.assisenses.com.br,simple-ui\.min\.js
www.assisenses.com.br,worker-asmjs\.min\.js
mail.dijabetes-osijek.com,worker-asmjs\.min\.js
mail.dijabetes-osijek.com,coin-hive\..*\.js;coinhive\.min\.js
yoursylvan.com,minui\.js
illustrism.com,coinhive\.min\.js
yoursylvan.com,minui\.js
yoursylvan.com,minui\.js
yoursylvan.com,minui\.js
grandcaymanislandshopping.com,ws.?://(.*\.)?minero\.cc
yoursylvan.com,minui\.js
yoursylvan.com,minui\.js
yoursylvan.com,minui\.js
chamonixeventos.com.br,coinhive\.min\.js
yoursylvan.com,minui\.js
reinforcecabinets.com,coinhive\.min\.js
yoursylvan.com,minui\.js
yoursylvan.com,minui\.js
tiendalosrios.cl,ws.?://148\.251\.136\.20;ws.?://148\.251\.136\.203
yoursylvan.com,minui\.js
yoursylvan.com,minui\.js
yoursylvan.com,minui\.js
yoursylvan.com,minui\.js
yoursylvan.com,minui\.js
yoursylvan.com,minui\.js
yoursylvan.com,minui\.js
yoursylvan.com,minui\.js
yoursylvan.com,minui\.js
yoursylvan.com,minui\.js
yoursylvan.com,minui\.js
yoursylvan.com,minui\.js
yoursylvan.com,minui\.js
yoursylvan.com,minui\.js
yoursylvan.com,minui\.js
yoursylvan.com,minui\.js
facilyzer.com,lib-asmjs\.min\.js
yoursylvan.com,minui\.js
yoursylvan.com,minui\.js
devpgsv.com,simple-ui\.min\.js
devpgsv.com,worker-asmjs\.min\.js
sukhansa.com,worker-asmjs\.min\.js
sukhansa.com,worker-asmjs\.min\.js
sukhansa.com,miner\.min\.js
ludovicbarreca.com,worker-asmjs\.min\.js
mail.cmsaogeraldodapiedade.mg.gov.br,coinhive\.min\.js
mail.cmsaogeraldodapiedade.mg.gov.br,worker-asmjs\.min\.js
ludovicbarreca.com,worker-asmjs\.min\.js;worker\.wasm
ludovicbarreca.com,coinhive\.min\.js;simple-ui\.min\.js
visakhapatnam.cdma.ap.gov.in,worker-asmjs\.min\.js
visakhapatnam.cdma.ap.gov.in,coinhive\.min\.js
lotos-auto.ru,worker-asmjs\.min\.js
tor.fu.me.uk,crlt\.js
tor.fu.me.uk,crlt\.js
web.szakmaireggeli.hu,worker-asmjs\.min\.js
web.szakmaireggeli.hu,coinhive\.min\.js
www.meikoabadi.com,coinhive\.min\.js
www.my.js-host.ru,miner\.min\.js
www.my.js-host.ru,worker-asmjs\.min\.js
mail.ydc-brand.com,miner\.js
ca.rles-tub.io,coinhive\.min\.js
lotos-auto.ru,coinhive\.min\.js
mail.khaerulumam.my.id,worker-asmjs\.min\.js
mail.khaerulumam.my.id,worker-asmjs\.min\.js
crm.fahimghole.com,worker-asmjs\.min\.js
www.cateringsmart.ro,coinhive\.min\.js
mail.khaerulumam.my.id,worker-asmjs\.min\.js
crm.fahimghole.com,worker-asmjs\.min\.js
mail.khaerulumam.my.id,coinhive\.min\.js
crm.fahimghole.com,worker-asmjs\.min\.js
www.mthatha.southafricabusinesses.co.za,worker-asmjs\.min\.js
crm.fahimghole.com,coinhive\.min\.js
www.mthatha.southafricabusinesses.co.za,coin-hive\..*\.js;coinhive\.min\.js
unoravanti.com,coin-hive\..*\.js;coinhive\.min\.js
unoravanti.com,worker-asmjs\.min\.js
meimeio.com.tw,coinhive\.min\.js
meimeio.com.tw,worker-asmjs\.min\.js
mail.fixyourgut.com,worker-asmjs\.min\.js
mail.fixyourgut.com,coinhive\.min\.js
naidisebja.org,coinhive\.min\.js
naidisebja.org,worker-asmjs\.min\.js
ftp.fu.me.uk,crlt\.js
ftp.fu.me.uk,crlt\.js
roses.creweb.net.ua,worker-asmjs\.min\.js
daylaixeoto.edu.vn,crypta\.js
igrejacidadenova.com.br,coinhive\.min\.js
igrejacidadenova.com.br,worker-asmjs\.min\.js
roses.creweb.net.ua,coinhive\.min\.js
www.rachat-auto.com,worker-asmjs\.min\.js
signholdercentral.com,worker-asmjs\.min\.js
signholdercentral.com,coin-hive\..*\.js;coinhive\.min\.js
raywhitebushlandbeach.com,api\..{8}.space
www.payeer2xbonus.ru,coinhive\.min\.js
ee.toolsproj.com,crypta\.js
www.payeer2xbonus.ru,worker-asmjs\.min\.js
jangodemo.wildfoot.tw,simple-ui\.min\.js
ee.toolsproj.com,crypta\.js
jangodemo.wildfoot.tw,worker-asmjs\.min\.js
www.rachat-auto.com,coinhive\.min\.js
pranay.gp,coinhive\.min\.js
pranay.gp,worker-asmjs\.min\.js
aztec.website,coinhive\.min\.js
mail.fikif.com,authedmine\.min\.js
aztec.website,worker-asmjs\.min\.js
iptvhostingreviews.com,worker-asmjs\.min\.js
iptvhostingreviews.com,simple-ui\.min\.js
gyms.pokehunter.co,miner-ui\.min\.js;miner\.min\.js
www.orita.com.ua,coinhive\.min\.js
www.orita.com.ua,worker-asmjs\.min\.js
pt.nutritionproj.com,crypta\.js
pt.nutritionproj.com,crypta\.js
virtualrobotix.com,coinhive\.min\.js
virtualrobotix.com,worker-asmjs\.min\.js
cpc-core.com,ws.?://(.*\.)?gustaver\.ddns\.net
underpressure.ca,coinhive\.min\.js
officialianjones.co.uk,lib-asmjs\.min\.js
tonnel-ufo.mini-sam.ru,worker-asmjs\.min\.js
help2stream.com,coin-hive\..*\.js;coinhive\.min\.js
help2stream.com,worker-asmjs\.min\.js
vetinari.visiophone.hu,load.jsecoin.com/load/
tonnel-ufo.mini-sam.ru,coinhive\.min\.js
www.xn--12cfs5gin0g4f.com,coin-hive\..*\.js;coinhive\.min\.js
www.xn--12cfs5gin0g4f.com,worker-asmjs\.min\.js
youmono.net,miner\.min\.js
www.dbsuperlatino.net,load.jsecoin.com/load/
findpeopledatabase.com,crlt\.js
findpeopledatabase.com,crlt\.js
despairshe.website,coinhive\.min\.js
despairshe.website,worker-asmjs\.min\.js
www.ekentv.noescape.co.uk,crlt\.js
www.cryptohacks.io,coinhive\.min\.js;miner\.js;monero-miner\.js
www.ekentv.noescape.co.uk,crlt\.js
crcrsinforma.crcrs.org.br,coinhive\.min\.js
crcrsinforma.crcrs.org.br,worker-asmjs\.min\.js
hik-slt.com,me0w\.js
hik-slt.com,me0w\.js
hik-slt.com,me0w\.js
mail.innovacios.hu,worker-asmjs\.min\.js
drugstudyinstitute.com,coin-hive\..*\.js;coinhive\.min\.js
mail.innovacios.hu,coinhive\.min\.js
drugstudyinstitute.com,worker-asmjs\.min\.js
hik-slt.com,me0w\.js
esportes.missal.pr.gov.br,coinhive\.min\.js
esportes.missal.pr.gov.br,worker-asmjs\.min\.js
arieljoyerias.com,worker-asmjs\.min\.js
linerey.com,coin-hive\..*\.js;coinhive\.min\.js
linerey.com,worker-asmjs\.min\.js
raywhitewynnum.com,api\..{8}.space
inkapelis.live,load.jsecoin.com/load/
inkapelis.live,load.jsecoin.com/load/
inkapelis.live,load.jsecoin.com/load/
mail.erfolgs-faktor.de,worker-asmjs\.min\.js
inkapelis.live,load.jsecoin.com/load/
arieljoyerias.com,coinhive\.min\.js
mail.erfolgs-faktor.de,worker-asmjs\.min\.js
mail.erfolgs-faktor.de,coinhive\.min\.js
sixpersoninfraredsauna.net,authedmine\.min\.js
mail.jse-coin.net,jsecoin.*\.js
mail.kitchenmouseproj.com,crypta\.js
mail.kitchenmouseproj.com,crypta\.js
www.marioconsulting.squarelord.com,worker-asmjs\.min\.js
www.epidemic-factory.net,jsecoin.*\.js
bitflips.info,coinhive\.min\.js
trumpoverseas.com,worker-asmjs\.min\.js
www.marioconsulting.squarelord.com,coinhive\.min\.js
turbo-experte.de,miner\.min\.js
trumpoverseas.com,coinhive\.min\.js
trumpoverseas.com,worker-asmjs\.min\.js
www.calbet.cat,authedmine\.min\.js
alebrijeproducciones.com.mx,worker-asmjs\.min\.js
www.eldonservicec.noescape.co.uk,crlt\.js
www.eldonservicec.noescape.co.uk,crlt\.js
mail.pasionalbiverde.com.bo,coinhive\.min\.js;miner\.js;monero-miner\.js
alebrijeproducciones.com.mx,coinhive\.min\.js
rweast.com,api\..{8}.space
politica24.altervista.org,worker-asmjs\.min\.js
mail.etteremterasz.hu,worker-asmjs\.min\.js
politica24.altervista.org,coinhive\.min\.js
mail.etteremterasz.hu,coinhive\.min\.js
www.purepix.net,worker-asmjs\.min\.js
filmitorrentom.org,worker-asmjs\.min\.js
raywhitemainbeach.com.au,api\..{8}.space
www.purepix.net,coinhive\.min\.js
mail.radiolvasaladillo.com.ar,coinhive\.min\.js
mail.radiolvasaladillo.com.ar,worker-asmjs\.min\.js
filmitorrentom.org,miner\.min\.js
piratepirate.eu,coinhive\.min\.js
ecolevirtuellegratuite.fr,coinhive\.min\.js
ecowoman-gudhoraty.tk,worker-asmjs\.min\.js
ecolevirtuellegratuite.fr,worker-asmjs\.min\.js
www.buyitmarketplace.com.mx,load.jsecoin.com/load/
ecowoman-gudhoraty.tk,coinhive\.min\.js
alumnosa.com,coinhive\.min\.js
alumnosa.com,worker-asmjs\.min\.js
hanssensing.com,"(\""|/)cn\.js\"""
buydegree.ae,coinhive\.min\.js
www.outdesk.net,worker-asmjs\.min\.js
buydegree.ae,worker-asmjs\.min\.js
www.rmgdentalclinic.com,authedmine\.min\.js
dizipuf.com,authedmine\.min\.js
www.skathari.org,worker-asmjs\.min\.js
bittyboop.com,load.jsecoin.com/load/
www.skathari.org,coin-hive\..*\.js;coinhive\.min\.js
mail.chauffeurs4hire.com,worker-asmjs\.min\.js
mail.chauffeurs4hire.com,coinhive\.min\.js
www.racacaxtv.fr,coin-hive\..*\.js;coinhive\.min\.js
www.malicious.cf,simple-ui\.min\.js
www.malicious.cf,worker-asmjs\.min\.js
mail.buycigarboxmusic.com,load.jsecoin.com
