20171001,93.2219924927
20171008,89.774597168
20171015,94.8655395508
20171022,86.5819320679
20171029,88.6524810791
20171105,86.3468551636
20171112,123.856231689
20171119,129.478927612
20171126,163.374145508
20171203,200.050964355
20171210,245.333099365
20171217,351.372619629
20171224,337.059936523
20171231,349.025787354
20180107,459.331359863
20180114,399.518890381
20180121,345.079193115
20180128,332.167419434
20180204,221.046005249
20180211,229.485046387
20180218,300.118103027
20180225,281.023010254
20180304,368.973846436
20180311,282.351257324
20180318,209.632751465
20180325,211.784057617
20180401,175.508148193
20180408,173.9712677
20180415,200.621246338
20180422,271.301757812
20180429,256.87121582
20180506,235.490707397
20180513,209.576400757
20180520,203.445953369
20180527,166.08164978
20180603,169.355133057
20180610,139.510955811
20180617,124.062965393
20180624,121.291107178
20180701,129.772994995
20180708,138.117996216
20180715,123.958999634
20180722,128.723999023
20180729,135.35899353
20180805,117.274215698
20180812,93.2056121826
20180819,98.4240646362
20180826,95.3021469116
20180902,120.496154785
20180909,106.216392517
20180916,117.038169861
20180923,122.496185303
20180930,116.255661011
20181007,113.716911316
20181014,100.907165527
20181021,105.100135803
20181028,104.975883484
20181104,111.796144296
20181111,106.37568757
20181118,89.3929989856
20181125,58.0532845733
